universityName,province,majorCode,majorName,degreeType,studyMode,examSubjects,reexaminationLine,actualEnrollment,registrationCount,admissionYear,universityLevel,plannedEnrollment,nationalLine,sourceName,sourceUrl,sourceYear,remarks
清华大学,北京,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,350,,,2025,,45,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
清华大学,北京,083500,软件工程,学术学位,FULL_TIME,待补充,340,,,2025,,30,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
北京大学,北京,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,350,,,2025,,50,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
北京大学,北京,083500,软件工程,学术学位,FULL_TIME,待补充,335,,,2025,,25,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
浙江大学,浙江,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,330,,,2025,,60,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
浙江大学,浙江,083500,软件工程,学术学位,FULL_TIME,待补充,320,,,2025,,40,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
上海交通大学,上海,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,340,,,2025,,40,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
复旦大学,上海,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,300,,,2025,,35,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
南京大学,江苏,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,325,,,2025,,45,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
中国科学技术大学,安徽,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,330,,,2025,,50,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
哈尔滨工业大学,黑龙江,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,327,,,2025,,55,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
西安交通大学,陕西,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,320,,,2025,,40,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
北京航空航天大学,北京,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,335,,,2025,,35,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
北京邮电大学,北京,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,320,,,2025,,60,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
电子科技大学,四川,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,330,,,2025,,50,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
华中科技大学,湖北,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,325,,,2025,,45,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
武汉大学,湖北,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,320,,,2025,,40,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
中山大学,广东,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,310,,,2025,,35,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
同济大学,上海,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,315,,,2025,,30,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
东南大学,江苏,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,315,,,2025,,35,,高校研究生院官网(2025年),,2025,数据来源: 各高校研究生院官网公告
清华大学,北京,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,345,,,2024,,45,,高校研究生院官网(2024年),,2024,数据来源: 各高校研究生院官网公告
北京大学,北京,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,345,,,2024,,50,,高校研究生院官网(2024年),,2024,数据来源: 各高校研究生院官网公告
浙江大学,浙江,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,325,,,2024,,60,,高校研究生院官网(2024年),,2024,数据来源: 各高校研究生院官网公告
上海交通大学,上海,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,335,,,2024,,40,,高校研究生院官网(2024年),,2024,数据来源: 各高校研究生院官网公告
南京大学,江苏,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,320,,,2024,,45,,高校研究生院官网(2024年),,2024,数据来源: 各高校研究生院官网公告
哈尔滨工业大学,黑龙江,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,320,,,2024,,55,,高校研究生院官网(2024年),,2024,数据来源: 各高校研究生院官网公告
西安交通大学,陕西,081200,计算机科学与技术,学术学位,FULL_TIME,待补充,315,,,2024,,40,,高校研究生院官网(2024年),,2024,数据来源: 各高校研究生院官网公告
