universityName,province,majorCode,majorName,degreeType,studyMode,examSubjects,reexaminationLine,actualEnrollment,registrationCount,admissionYear,universityLevel,plannedEnrollment,nationalLine,sourceName,sourceUrl,sourceYear,remarks
中国矿业大学(北京),未知,0854,电子信息,专业学位,FULL_TIME,未公开,270,79,79,2020,普通,,,CPEER数据集(考研真实录取),https://github.com/Younai2021/CPEER-Dataset,2020,数据来源于CPEER开放数据集，共79条考生记录，其中79人录取
中国矿业大学(北京),未知,0812,计算机科学与技术,专业学位,FULL_TIME,未公开,311,16,16,2020,普通,,,CPEER数据集(考研真实录取),https://github.com/Younai2021/CPEER-Dataset,2020,数据来源于CPEER开放数据集，共16条考生记录，其中16人录取
中国矿业大学(北京),未知,0835,软件工程,专业学位,FULL_TIME,未公开,285,5,5,2020,普通,,,CPEER数据集(考研真实录取),https://github.com/Younai2021/CPEER-Dataset,2020,数据来源于CPEER开放数据集，共5条考生记录，其中5人录取
广西大学,广西,0812,计算机科学与技术,专业学位,FULL_TIME,未公开,254,67,67,2020,普通,,,CPEER数据集(考研真实录取),https://github.com/Younai2021/CPEER-Dataset,2020,数据来源于CPEER开放数据集，共67条考生记录，其中67人录取
广西大学,广西,0854,电子信息,专业学位,FULL_TIME,未公开,252,165,165,2020,普通,,,CPEER数据集(考研真实录取),https://github.com/Younai2021/CPEER-Dataset,2020,数据来源于CPEER开放数据集，共165条考生记录，其中165人录取
河北工业大学,河北,0812,计算机科学与技术,专业学位,FULL_TIME,未公开,264,48,48,2020,普通,,,CPEER数据集(考研真实录取),https://github.com/Younai2021/CPEER-Dataset,2020,数据来源于CPEER开放数据集，共48条考生记录，其中48人录取
河北工业大学,河北,0854,电子信息,专业学位,FULL_TIME,未公开,264,41,41,2020,普通,,,CPEER数据集(考研真实录取),https://github.com/Younai2021/CPEER-Dataset,2020,数据来源于CPEER开放数据集，共41条考生记录，其中41人录取
西北大学,陕西,0812,计算机科学与技术,专业学位,FULL_TIME,未公开,309,2,2,2020,普通,,,CPEER数据集(考研真实录取),https://github.com/Younai2021/CPEER-Dataset,2020,数据来源于CPEER开放数据集，共2条考生记录，其中2人录取
西北大学,陕西,0854,电子信息,专业学位,FULL_TIME,未公开,281,109,150,2020,普通,,,CPEER数据集(考研真实录取),https://github.com/Younai2021/CPEER-Dataset,2020,数据来源于CPEER开放数据集，共150条考生记录，其中109人录取
西北大学,陕西,0835,软件工程,专业学位,FULL_TIME,未公开,325,18,22,2020,普通,,,CPEER数据集(考研真实录取),https://github.com/Younai2021/CPEER-Dataset,2020,数据来源于CPEER开放数据集，共22条考生记录，其中18人录取
西北大学,陕西,0812,计算机科学与技术,专业学位,FULL_TIME,未公开,290,13,16,2020,普通,,,CPEER数据集(考研真实录取),https://github.com/Younai2021/CPEER-Dataset,2020,数据来源于CPEER开放数据集，共16条考生记录，其中13人录取
上海大学,上海,0812,计算机科学与技术,专业学位,FULL_TIME,未公开,281,46,46,2021,普通,,,CPEER数据集(考研真实录取),https://github.com/Younai2021/CPEER-Dataset,2021,数据来源于CPEER开放数据集，共46条考生记录，其中46人录取
上海财经大学,上海,0835,软件工程,专业学位,FULL_TIME,未公开,330,3,3,2021,普通,,,CPEER数据集(考研真实录取),https://github.com/Younai2021/CPEER-Dataset,2021,数据来源于CPEER开放数据集，共3条考生记录，其中3人录取
上海财经大学,上海,0854,电子信息,专业学位,FULL_TIME,未公开,330,2,2,2021,普通,,,CPEER数据集(考研真实录取),https://github.com/Younai2021/CPEER-Dataset,2021,数据来源于CPEER开放数据集，共2条考生记录，其中2人录取
上海财经大学,上海,0835,软件工程,专业学位,FULL_TIME,未公开,354,2,2,2021,普通,,,CPEER数据集(考研真实录取),https://github.com/Younai2021/CPEER-Dataset,2021,数据来源于CPEER开放数据集，共2条考生记录，其中2人录取
