universityName,province,majorCode,majorName,degreeType,studyMode,examSubjects,reexaminationLine,actualEnrollment,registrationCount,admissionYear,universityLevel,plannedEnrollment,nationalLine,sourceName,sourceUrl,sourceYear,remarks
上海财经大学,上海,0835,软件工程,学术学位,FULL_TIME,待补充,353,1,1,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线353分,录取最高353分,平均353.0分,录取1人"
上海财经大学,上海,0835,软件工程理论与计算复杂性,学术学位,FULL_TIME,待补充,338,2,2,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线338分,录取最高345分,平均341.5分,录取2人"
上海财经大学,上海,0835,金融领域软件工程,学术学位,FULL_TIME,待补充,297,2,2,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线297分,录取最高340分,平均318.5分,录取2人"
上海财经大学,上海,0854,软件服务工程,专业学位,FULL_TIME,待补充,339,1,1,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线339分,录取最高339分,平均339.0分,录取1人"
东北师范大学,吉林,0812,计算机科学与技术,学术学位,FULL_TIME,待补充,314,30,30,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线314分,录取最高434分,平均371.4分,录取30人"
东北师范大学,吉林,0854,电子信息,专业学位,FULL_TIME,待补充,279,94,94,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线279分,录取最高419分,平均361.1分,录取94人"
中南财经政法大学,湖北,0812,计算机科学与技术,学术学位,FULL_TIME,待补充,294,3,4,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线294分,录取最高379分,平均336.3分,录取3人"
中南财经政法大学,湖北,0839,网络与信息安全,学术学位,FULL_TIME,待补充,356,18,25,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线356分,录取最高401分,平均372.4分,录取18人"
中南财经政法大学,湖北,0854,计算机技术,专业学位,FULL_TIME,待补充,304,19,27,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线304分,录取最高405分,平均363.8分,录取19人"
中南财经政法大学,湖北,0854,人工智能,专业学位,FULL_TIME,待补充,348,19,25,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线348分,录取最高410分,平均372.1分,录取19人"
中南财经政法大学,湖北,0854,大数据技术与工程,专业学位,FULL_TIME,待补充,350,20,28,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线350分,录取最高400分,平均378.6分,录取20人"
中国地质大学(北京),,0812,计算机科学与技术,学术学位,FULL_TIME,待补充,286,3,3,2023,,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线286分,录取最高305分,平均294.7分,录取3人"
中国地质大学(北京),,0835,软件工程,学术学位,FULL_TIME,待补充,338,16,16,2023,,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线338分,录取最高399分,平均361.9分,录取16人"
中国地质大学(北京),,0854,计算机技术,专业学位,FULL_TIME,待补充,317,28,28,2023,,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线317分,录取最高389分,平均345.6分,录取28人"
中国地质大学(武汉),,0812,计算机科学与技术,学术学位,FULL_TIME,待补充,310,25,33,2023,,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线310分,录取最高403分,平均344.8分,录取25人"
中国地质大学(武汉),,0835,软件工程,学术学位,FULL_TIME,待补充,286,9,12,2023,,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线286分,录取最高373分,平均314.0分,录取9人"
中国地质大学(武汉),,0854,计算机技术,专业学位,FULL_TIME,待补充,286,6,7,2023,,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线286分,录取最高351分,平均304.3分,录取6人"
中国地质大学(武汉),,0854,电子信息,专业学位,FULL_TIME,待补充,278,392,568,2023,,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线278分,录取最高440分,平均369.9分,录取392人"
中国矿业大学,江苏,0812,计算机科学与技术,学术学位,FULL_TIME,待补充,289,16,16,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线289分,录取最高405分,平均324.9分,录取16人"
中国矿业大学,江苏,0835,软件工程,学术学位,FULL_TIME,待补充,277,37,37,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线277分,录取最高419分,平均338.6分,录取37人"
中国矿业大学,江苏,0839,网络与信息安全,学术学位,FULL_TIME,待补充,285,2,2,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线285分,录取最高290分,平均287.5分,录取2人"
中国矿业大学,江苏,0854,新一代电子信息技术,专业学位,FULL_TIME,待补充,292,31,31,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线292分,录取最高398分,平均337.3分,录取31人"
中国矿业大学,江苏,0854,计算机技术,专业学位,FULL_TIME,待补充,273,41,41,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线273分,录取最高402分,平均350.4分,录取41人"
中国矿业大学,江苏,0854,大数据技术与工程,专业学位,FULL_TIME,待补充,352,1,1,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线352分,录取最高352分,平均352.0分,录取1人"
中国矿业大学(北京),,0812,计算机科学与技术,学术学位,FULL_TIME,待补充,278,14,14,2023,,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线278分,录取最高372分,平均307.7分,录取14人"
中国矿业大学(北京),,0854,计算机技术,专业学位,FULL_TIME,待补充,277,23,23,2023,,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线277分,录取最高371分,平均310.9分,录取23人"
中国科学院大学,,0812,计算机科学与技术,学术学位,FULL_TIME,待补充,274,133,133,2023,,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线274分,录取最高429分,平均340.2分,录取133人"
中国科学院大学,,0812,计算机应用技术,学术学位,FULL_TIME,待补充,285,10,10,2023,,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线285分,录取最高352分,平均309.8分,录取10人"
中国科学院大学,,0835,软件工程,学术学位,FULL_TIME,待补充,337,9,9,2023,,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线337分,录取最高378分,平均356.6分,录取9人"
中国科学院大学,,0839,网络空间安全,学术学位,FULL_TIME,待补充,274,11,11,2023,,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线274分,录取最高352分,平均310.9分,录取11人"
中国科学院大学,,0854,电子信息,专业学位,FULL_TIME,待补充,277,46,46,2023,,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线277分,录取最高403分,平均349.6分,录取46人"
中央财经大学,北京,0854,电子信息,专业学位,FULL_TIME,待补充,295,16,21,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线295分,录取最高462分,平均401.2分,录取16人"
北京化工大学,北京,0812,计算机科学与技术,学术学位,FULL_TIME,待补充,292,28,28,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线292分,录取最高402分,平均340.1分,录取28人"
北京化工大学,北京,0854,新一代电子信息技术,专业学位,FULL_TIME,待补充,316,23,23,2023,211,,,CPEER推算(录取最低分),https://github.com/Younai2021/CPEER-Dataset,2023,"推算复试线316分,录取最高412分,平均352.6分,录取23人"
