universityName,province,majorCode,majorName,degreeType,studyMode,examSubjects,department,researchDirection,reexaminationLine,plannedEnrollment,remarks,admissionYear,sourceName,sourceUrl,sourceYear
青海大学,青海,085404,计算机技术,专硕,FULL_TIME,①(101)思想政治理论 ②(204)英语（二） ③(302)数学（二） ④(408)计算机学科专业基础,计算机技术与应用学院,（00）不区分研究方向,254,43,同等学力考生复试时需加试【招生人数为专业招生总数，非方向人数】,2026,kaoyan.cn,https://www.kaoyan.cn/school/996/major/20471,2026
青海大学,青海,085404,计算机技术,专硕,FULL_TIME,①(101)思想政治理论 ②(204)英语（二） ③(302)数学（二） ④(408)计算机学科专业基础,计算机技术与应用学院,（00）不区分研究方向,254,26,同等学力考生复试需加试【招生人数为专业招生总数，非方向人数】,2025,kaoyan.cn,https://www.kaoyan.cn/school/996/major/20471,2025
青海大学,青海,085410,人工智能,专硕,FULL_TIME,①(101)思想政治理论 ②(204)英语（二） ③(302)数学（二） ④(408)计算机学科专业基础,计算机技术与应用学院,（00）不区分研究方向,254,32,同等学力考生复试时需加试【招生人数为专业招生总数，非方向人数】,2026,kaoyan.cn,https://www.kaoyan.cn/school/996/major/20477,2026
青海大学,青海,085410,人工智能,专硕,FULL_TIME,①(101)思想政治理论 ②(204)英语（二） ③(302)数学（二） ④(408)计算机学科专业基础,计算机技术与应用学院,（00）不区分研究方向,254,10,同等学力考生复试需加试【招生人数为专业招生总数，非方向人数】,2025,kaoyan.cn,https://www.kaoyan.cn/school/996/major/20477,2025
青海师范大学,青海,083500,软件工程,学硕,FULL_TIME,①(101)思想政治理论 ②(201)英语（一） ③(302)数学（二） ④(830)计算机综合专业基础,计算机学院,（00）不区分研究方向,254,21,【招生人数为专业招生总数，非方向人数】,2026,kaoyan.cn,https://www.kaoyan.cn/school/47/major/20460,2026
青海师范大学,青海,083500,软件工程,学硕,FULL_TIME,①(101)思想政治理论 ②(201)英语（一） ③(302)数学（二） ④(830)计算机综合专业基础,计算机学院,（00）不区分研究方向,254,21,【招生人数为专业招生总数，非方向人数】,2025,kaoyan.cn,https://www.kaoyan.cn/school/47/major/20460,2025
青海师范大学,青海,083500,软件工程,学硕,FULL_TIME,①(101)思想政治理论 ②(201)英语（一） ③(302)数学（二） ④(830)计算机综合专业基础,计算机学院,（00）不区分研究方向,254,21,【招生人数为专业招生总数，非方向人数】,2024,kaoyan.cn,https://www.kaoyan.cn/school/47/major/20460,2024
青海师范大学,青海,083500,软件工程,学硕,FULL_TIME,①101思想政治理论 ②201英语一 ③302数学二 ④830计算机综合专业基础（C语言程序设计60%；数据结构30%；计算机网络10%）,计算机学院,,254,,,2023,kaoyan.cn,https://www.kaoyan.cn/school/47/major/20460,2023
青海师范大学,青海,083500,软件工程,学硕,FULL_TIME,（1）101思想政治理论  （2）201英语（一）  （3）302数学（二）  （4）830计算机综合专业基础（C语言程序设计60%，数据结构30%，计算机网络10%）  复试科目： 数据结构和操作系统  同等学力加试科目:计算机网络 ;离散数学,计算机学院,,254,,授予工学硕士学位,2022,kaoyan.cn,https://www.kaoyan.cn/school/47/major/20460,2022
青海师范大学,青海,085400,电子信息,专硕,FULL_TIME,①(101)思想政治理论 ②(204)英语（二） ③(302)数学（二） ④(891)程序设计与数据库系统概论,计算机学院,（05）软件工程,254,31,【招生人数为专业招生总数，非方向人数】,2026,kaoyan.cn,https://www.kaoyan.cn/school/47/major/20467,2026
青海师范大学,青海,085400,电子信息,专硕,FULL_TIME,①(101)思想政治理论 ②(204)英语（二） ③(302)数学（二） ④(891)程序设计与数据库系统概论,计算机学院,（05）软件工程,254,26,【招生人数为专业招生总数，非方向人数】,2025,kaoyan.cn,https://www.kaoyan.cn/school/47/major/20467,2025
青海师范大学,青海,085400,电子信息,专硕,FULL_TIME,①(101)思想政治理论 ②(204)英语（二） ③(302)数学（二） ④(924)程序设计与数据库系统概论,计算机学院,（05）软件工程,254,21,【招生人数为专业招生总数，非方向人数】,2024,kaoyan.cn,https://www.kaoyan.cn/school/47/major/20467,2024
青海师范大学,青海,085400,电子信息,专硕,FULL_TIME,（1）101思想政治理论  （2）204英语（二）  （3）302数学（二）  （4）924 程序设计与数据库系统概论（C语言程序设计60%，数据库系统概论40%）  复试笔试科目：数据结构；操作系统,计算机学院,,254,30,"拟招总人数30（含推免生4人） 
授予电子信息工程硕士毕业证、学位证",2022,kaoyan.cn,https://www.kaoyan.cn/school/47/major/20467,2022
青海民族大学,青海,083900,网络空间安全,学硕,FULL_TIME,①(101)思想政治理论 ②(201)英语（一） 或 (203)日语 ③(301)数学（一） ④(408)计算机学科专业基础,智能科学与工程学院,（01）信息内容安全,254,22,【招生人数为专业招生总数，非方向人数】,2026,kaoyan.cn,https://www.kaoyan.cn/school/573/major/20464,2026
青海民族大学,青海,083900,网络空间安全,学硕,FULL_TIME,①(101)思想政治理论 ②(201)英语（一） 或 (203)日语 或 (266)梵文（含40%英语） ③(301)数学（一） ④(821)信息技术基础,智能科学与工程学院,（03）藏语信息处理工程,254,22,具备一定的藏文基础【招生人数为专业招生总数，非方向人数】,2026,kaoyan.cn,https://www.kaoyan.cn/school/573/major/20464,2026
青海民族大学,青海,083900,网络空间安全,学硕,FULL_TIME,①(101)思想政治理论 ②(201)英语（一） 或 (203)日语 ③(301)数学（一） ④(821)信息技术基础,智能科学与工程学院,（04）蒙古语信息处理工程,254,22,具备一定的蒙古文基础【招生人数为专业招生总数，非方向人数】,2026,kaoyan.cn,https://www.kaoyan.cn/school/573/major/20464,2026
青海民族大学,青海,083900,网络空间安全,学硕,FULL_TIME,①(101)思想政治理论 ②(201)英语（一） 或 (203)日语 ③(301)数学（一） ④(408)计算机学科专业基础,智能科学与工程学院,（02）网络安全技术与应用,254,22,【招生人数为专业招生总数，非方向人数】,2026,kaoyan.cn,https://www.kaoyan.cn/school/573/major/20464,2026
青海民族大学,青海,083900,网络空间安全,学硕,FULL_TIME,①(101)思想政治理论 ②(201)英语（一） 或 (203)日语 ③(301)数学（一） ④(408)计算机学科专业基础,智能科学与工程学院,（02）网络安全技术与应用,254,7,【招生人数为专业招生总数，非方向人数】,2025,kaoyan.cn,https://www.kaoyan.cn/school/573/major/20464,2025
青海民族大学,青海,083900,网络空间安全,学硕,FULL_TIME,①(101)思想政治理论 ②(201)英语（一） 或 (203)日语 ③(301)数学（一） ④(408)计算机学科专业基础,智能科学与工程学院,（01）信息内容安全,254,7,【招生人数为专业招生总数，非方向人数】,2025,kaoyan.cn,https://www.kaoyan.cn/school/573/major/20464,2025
